title,group
کارگزین,مدیران‌منابع‌انسانی
مدیر اداری,مدیران‌منابع‌انسانی
مدیر خدمات سازمانی,مدیران‌منابع‌انسانی
متصدی خدمات اداری,مدیران‌منابع‌انسانی
مدیر امور پرسنلی,مدیران‌منابع‌انسانی
رئیس بازرسی مالی شهرداری,مدیران‌امور‌مالی‌و‌بیمه
بازرسی مالی شهرداری,مدیران‌امور‌مالی‌و‌بیمه
مدیر بازرسی مالی شهرداری ,مدیران‌امور‌مالی‌و‌بیمه
مدیر امور مالی,مدیران‌امور‌مالی‌و‌بیمه
مدیر ارشد مالی,مدیران‌امور‌مالی‌و‌بیمه
رئیس امور مالی,مدیران‌امور‌مالی‌و‌بیمه
رییس امور مالی,مدیران‌امور‌مالی‌و‌بیمه
امور مالی,مدیران‌امور‌مالی‌و‌بیمه
نماینده خبره امور مالی شرکت,مدیران‌امور‌مالی‌و‌بیمه
متصدی امور مالی,مدیران‌امور‌مالی‌و‌بیمه
تحلیل گر امور مالی,مدیران‌امور‌مالی‌و‌بیمه
مسئول امور مالی,مدیران‌امور‌مالی‌و‌بیمه
کارشناس دریافت و پرداخت,مدیران‌امور‌مالی‌و‌بیمه
کارشناس دریافت و پرداخت-امور مالی,مدیران‌امور‌مالی‌و‌بیمه
کارشناس دریافت و پرداخت امور مالی,مدیران‌امور‌مالی‌و‌بیمه
کارشناس امور مالیاتی,مدیران‌امور‌مالی‌و‌بیمه
‎کمک کارشناس امور مالی,مدیران‌امور‌مالی‌و‌بیمه
مدیر حسابداری,مدیران‌امور‌مالی‌و‌بیمه
کاردان حسابداری,مدیران‌امور‌مالی‌و‌بیمه
ممیز حسابداری,مدیران‌امور‌مالی‌و‌بیمه
متخصص حسابداری,مدیران‌امور‌مالی‌و‌بیمه
حسابدار,مدیران‌امور‌مالی‌و‌بیمه
حسابدار ارشد,مدیران‌امور‌مالی‌و‌بیمه
حسابدار خبره,مدیران‌امور‌مالی‌و‌بیمه
حسابدار رسمی,مدیران‌امور‌مالی‌و‌بیمه
حسابدار لیسانس و بالاتر,مدیران‌امور‌مالی‌و‌بیمه
حسابدار-لیسانس و بالاتر,مدیران‌امور‌مالی‌و‌بیمه
حسابدار مالی,مدیران‌امور‌مالی‌و‌بیمه
حسابدار مالیاتی,مدیران‌امور‌مالی‌و‌بیمه
حسابدار مدیریتی,مدیران‌امور‌مالی‌و‌بیمه
سر حسابدار,مدیران‌امور‌مالی‌و‌بیمه
کمک متخصصان حسابداری,مدیران‌امور‌مالی‌و‌بیمه
کم تر ازلیسانس حسابدار,مدیران‌امور‌مالی‌و‌بیمه
کم تر ازلیسانس-حسابدار,مدیران‌امور‌مالی‌و‌بیمه
کمتر ازلیسانس حسابدار,مدیران‌امور‌مالی‌و‌بیمه
سند نویس حسابداری,مدیران‌امور‌مالی‌و‌بیمه
کمک متخصص حسابداری,مدیران‌امور‌مالی‌و‌بیمه
کمک متخصص دفترداری حسابداری,مدیران‌امور‌مالی‌و‌بیمه
متصدی حسابداری,مدیران‌امور‌مالی‌و‌بیمه
متصدیان حسابداری,مدیران‌امور‌مالی‌و‌بیمه
دفتر دار حسابداری,مدیران‌امور‌مالی‌و‌بیمه
کمک دفتر دار حسابداری,مدیران‌امور‌مالی‌و‌بیمه
بایگان حسابدار مالی,مدیران‌امور‌مالی‌و‌بیمه
حسابرس,مدیران‌امور‌مالی‌و‌بیمه
حسابرس ارشد,مدیران‌امور‌مالی‌و‌بیمه
حسابرس مالی,مدیران‌امور‌مالی‌و‌بیمه
حسابرس مسئول,مدیران‌امور‌مالی‌و‌بیمه
حسابرس مسؤول,مدیران‌امور‌مالی‌و‌بیمه
حسابرس‎مسوول,مدیران‌امور‌مالی‌و‌بیمه
حسابرس مسیول,مدیران‌امور‌مالی‌و‌بیمه
 مسئول حسابرسی,مدیران‌امور‌مالی‌و‌بیمه
مسؤول حسابرسی,مدیران‌امور‌مالی‌و‌بیمه
مسوول حسابرسی,مدیران‌امور‌مالی‌و‌بیمه
مسیول حسابرسی,مدیران‌امور‌مالی‌و‌بیمه
حسابرس هزینه,مدیران‌امور‌مالی‌و‌بیمه
کاردان حسابرسی,مدیران‌امور‌مالی‌و‌بیمه
کاردان حسابرس,مدیران‌امور‌مالی‌و‌بیمه
متخصص حسابرسی,مدیران‌امور‌مالی‌و‌بیمه
متخصص حسابرسی مالی,مدیران‌امور‌مالی‌و‌بیمه
کمک متخصص حسابرسی,مدیران‌امور‌مالی‌و‌بیمه
کمک متخصص حسابرسی مالی,مدیران‌امور‌مالی‌و‌بیمه
مدیر امور مالیاتی,مدیران‌امور‌مالی‌و‌بیمه
متصدی امور مالیاتی,مدیران‌امور‌مالی‌و‌بیمه
ممیز مالیاتی,مدیران‌امور‌مالی‌و‌بیمه
بازرس مالیاتی,مدیران‌امور‌مالی‌و‌بیمه
کارشناس مالیاتی,مدیران‌امور‌مالی‌و‌بیمه
متخصص اقتصاد مالیات,مدیران‌امور‌مالی‌و‌بیمه
متخصص مالیات,مدیران‌امور‌مالی‌و‌بیمه
ارزیاب مالیات,مدیران‌امور‌مالی‌و‌بیمه
مامور مالیات,مدیران‌امور‌مالی‌و‌بیمه
مامور مالیاتی,مدیران‌امور‌مالی‌و‌بیمه
مأمور مالیات,مدیران‌امور‌مالی‌و‌بیمه
مأمور مالیاتی,مدیران‌امور‌مالی‌و‌بیمه
مأمور مالیات مستقیم,مدیران‌امور‌مالی‌و‌بیمه
مامور مالیات مستقیم,مدیران‌امور‌مالی‌و‌بیمه
مامور مالیات غیر مستقیم,مدیران‌امور‌مالی‌و‌بیمه
مأمور مالیات غیر  مستقیم,مدیران‌امور‌مالی‌و‌بیمه
بازرس مالیات,مدیران‌امور‌مالی‌و‌بیمه
بازرس مالیات بر درآمد,مدیران‌امور‌مالی‌و‌بیمه
بازرس مالیات بر درامد,مدیران‌امور‌مالی‌و‌بیمه
کمک ممیز مالیاتی,مدیران‌امور‌مالی‌و‌بیمه
مشاور مالیاتی,مدیران‌امور‌مالی‌و‌بیمه
رئیس امور حقوقی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
مدیر ارائه خدمات حقوقی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
ارائه خدمات حقوقی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
خدمات حقوقی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
مدیر خدمات حقوقی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
مدیر امور حقوقی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
امور حقوقی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
نماینده خبره امور حقوقی شرکت,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
نماینده امور حقوقی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
نماینده خبره امور حقوقی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
نماینده امور حقوقی شرکت,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
کارشناس امور حقوقی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
متخصصان امور حقوقی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
حقوقی انتخابات,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
حقوقی‎انتظامی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
حقوقی‎شکایت,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
حقوقی شکایت و بیمه,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
حقوقی بیمه و شکایت,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
حقوقی شکایات,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
مدیر برنامه ریزی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
مدیر امور طرح و برنامه,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
امور طرح وبرنامه,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
مدیر برنامه ریزی راهبردی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
برنامه ریزی راهبردی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
مدیریت‎راهبردی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
مدیریت استراتژیک,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
برنامه ریزی استراتژیک,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
مدیریت و برنامه ریزی استراتژیک,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
مدیر برنامه ریزی سازمانی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
برنامه ریزی سازمانی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
برنامه ریزی منابع سازمانی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
مدیر سیاست گذاری سازمانی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
سیاست گذاری سازمانی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
سیاست سازمانی,مدیران‌امور‌اداری،‌حقوقی‌و‌برنامه‌ریزی
مدیر تأسیسات,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
مسؤول تأسیسات,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
طراح تأسیسات,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
مهندس تأسیسات,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
کارشناس تأسیسات,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تأسیسات و نگهداری,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
کارشناس تأسیسات و نگهداری,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تأسیسات بهداشتی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تأسیسات مکانیکی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
مهندس تأسیسات بهداشتی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
مهندس تأسیسات مکانیکی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
کارشناس تأسیسات برق,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تأسیسات برق,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
مهندس تأسیسات برق,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تکنسین تأسیسات,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تأسیسات حرارتی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تکنسین تأسیسات حرارتی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
نقشه کش تأسیسات,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تأسیسات آب رسانی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
کنترل تأسیسات آب رسانی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
متصدی کنترل تأسیسات آب رسانی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
حفاظت تأسیسات حرارتی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
مأمورحفاظت تأسیسات حرارتی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تعمیرکار تأسیسات حرارتی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تأسیسات تهویه مطبوع,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تعمیرکار تأسیسات تهویه مطبوع,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
متصدی تعمیر  تأسیسات تهویه مطبوع,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
متصدی نصب  تأسیسات تهویه مطبوع,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
نصب  تأسیسات تهویه مطبوع,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
مکانیسین تأسیسات,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تأسیسات برودتی و حرارتی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تأسیسات حرارتی و برودتی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
رئیس اداره تأسیسات آب,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تأسیسات نیرو,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تأسیسات تولید نیرو,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
تأسیسات تصفیه آب,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
متصدی تأسیسات تصفیه آب,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
متصدی تأسیسات تولید نیرو,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
مکانیسین تأسیسات تهویه مطبوع,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
کارگر تأسیسات حرارتی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
 تأسیسات  ماشین آلات,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
 متصدی تأسیسات  ماشین آلات,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
مدیر خدمات نظافتی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
خدمات نظافتی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
مدیر خدماتی,مدیران‌خدمات‌سازمانی‌و‌امور‌اداری
امور بازرگانی,مدیران‌فروش‌و‌بازاریابی
مدیر امور بازرگانی,مدیران‌فروش‌و‌بازاریابی
امور بازرگانی خارجی,مدیران‌فروش‌و‌بازاریابی
امور بازرگانی داخلی,مدیران‌فروش‌و‌بازاریابی
معاملات خارجی,مدیران‌فروش‌و‌بازاریابی
معاملات داخلی,مدیران‌فروش‌و‌بازاریابی
بازرگانی خارجی,مدیران‌فروش‌و‌بازاریابی
بازرگانی داخلی,مدیران‌فروش‌و‌بازاریابی
بازرگان,مدیران‌فروش‌و‌بازاریابی
تاجر,مدیران‌فروش‌و‌بازاریابی
رئیس مؤسسه تجاری و بازرگانی,مدیران‌فروش‌و‌بازاریابی
مؤسسه تجاری و بازرگانی,مدیران‌فروش‌و‌بازاریابی
 تجاری و بازرگانی,مدیران‌فروش‌و‌بازاریابی
خدمات بازرگانی,مدیران‌فروش‌و‌بازاریابی
مؤسسه خدمات بازرگانی,مدیران‌فروش‌و‌بازاریابی
مدیرعامل مؤسسه خدمات بازرگانی,مدیران‌فروش‌و‌بازاریابی
مدیر بازرگانی خارجی,مدیران‌فروش‌و‌بازاریابی
مدیر معاملات خارجی,مدیران‌فروش‌و‌بازاریابی
بازاریاب,مدیران‌فروش‌و‌بازاریابی
کارشناس بازاریابی,مدیران‌فروش‌و‌بازاریابی
متخصص بازاریابی,مدیران‌فروش‌و‌بازاریابی
مدیر بازاریابی,مدیران‌فروش‌و‌بازاریابی
رئیس دایره  بازاریابی,مدیران‌فروش‌و‌بازاریابی
بازاریاب کالا,مدیران‌فروش‌و‌بازاریابی
بازاریاب ثبت و سفارش کالا,مدیران‌فروش‌و‌بازاریابی
بازاریاب ثبت کالا,مدیران‌فروش‌و‌بازاریابی
بازاریاب ثبت سفارش کالا,مدیران‌فروش‌و‌بازاریابی
بازاریاب تلفنی,مدیران‌فروش‌و‌بازاریابی
بازاریاب صنایع دستی,مدیران‌فروش‌و‌بازاریابی
بازاریاب از راه دور,مدیران‌فروش‌و‌بازاریابی
فروشنده بازاریابی از راه دور,مدیران‌فروش‌و‌بازاریابی
تحلیل گر تحقیق در بازار,مدیران‌فروش‌و‌بازاریابی
بازاریابی,مدیران‌فروش‌و‌بازاریابی
کارشناس فروش تلفنی,مدیران‌فروش‌و‌بازاریابی
کارشناس فروش,مدیران‌فروش‌و‌بازاریابی
رئیس دایره بازاریابی,مدیران‌فروش‌و‌بازاریابی
بازاریاب ,مدیران‌فروش‌و‌بازاریابی
 بازاریاب,مدیران‌فروش‌و‌بازاریابی
 بازاریابی,مدیران‌فروش‌و‌بازاریابی
کارشناس فروش کالاهای پزشکی,مدیران‌فروش‌و‌بازاریابی
کارشناس فروش کالا های صنعتی,مدیران‌فروش‌و‌بازاریابی
کارشناس خرید و فروش,مدیران‌فروش‌و‌بازاریابی
 خرید و فروش کالا,مدیران‌فروش‌و‌بازاریابی
 ثبت و سفارش کالا,مدیران‌فروش‌و‌بازاریابی
 ثبت کالا,مدیران‌فروش‌و‌بازاریابی
سفارش کالا,مدیران‌فروش‌و‌بازاریابی
فروش کالا,مدیران‌فروش‌و‌بازاریابی
ثبت سفارش کالا,مدیران‌فروش‌و‌بازاریابی
عامل فروش کالاهای تولیدی,مدیران‌فروش‌و‌بازاریابی
عامل فروش کالاهای صنعتی,مدیران‌فروش‌و‌بازاریابی
متخصص فروش محصولات پزشکی,مدیران‌فروش‌و‌بازاریابی
مشاور خدمات پس از فروش کالاهای پزشکی,مدیران‌فروش‌و‌بازاریابی
مشاور خدمات پس از فروش کالاهای صنعتی,مدیران‌فروش‌و‌بازاریابی
نماینده فروش فنی,مدیران‌فروش‌و‌بازاریابی
نماینده فروش کالاهای پزشکی,مدیران‌فروش‌و‌بازاریابی
نماینده فروش کالاهای صنعتی,مدیران‌فروش‌و‌بازاریابی
نماینده فروش محصولات پزشکی,مدیران‌فروش‌و‌بازاریابی
نماینده فروش محصولات پزشکی و دارویی,مدیران‌فروش‌و‌بازاریابی
نماینده فروش محصولات صنعتی,مدیران‌فروش‌و‌بازاریابی
مدیر تبلیغات,مدیران‌تبلیغات‌و‌روابط‌عمومی
تبلیغات و روابط عمومی,مدیران‌تبلیغات‌و‌روابط‌عمومی
تبلیغات,مدیران‌تبلیغات‌و‌روابط‌عمومی
کارشناس امور بین المللی,مدیران‌تبلیغات‌و‌روابط‌عمومی
 امور بین المللی,مدیران‌تبلیغات‌و‌روابط‌عمومی
 امور بین الملل,مدیران‌تبلیغات‌و‌روابط‌عمومی
کارشناس امور کشوری و مدنی,مدیران‌تبلیغات‌و‌روابط‌عمومی
کارشناس روابط بین المللی,مدیران‌تبلیغات‌و‌روابط‌عمومی
روابط بین المللی,مدیران‌تبلیغات‌و‌روابط‌عمومی
روابط بین الملل,مدیران‌تبلیغات‌و‌روابط‌عمومی
مدیر روابط بین المللی,مدیران‌تبلیغات‌و‌روابط‌عمومی
اقتصاددان تجارت بین المللی,مدیران‌تبلیغات‌و‌روابط‌عمومی
کارشناس اقتصاد بین الملل,مدیران‌تبلیغات‌و‌روابط‌عمومی
کارشناس رابط مطبوعات,مدیران‌تبلیغات‌و‌روابط‌عمومی
کارشناس روابط عمومی,مدیران‌تبلیغات‌و‌روابط‌عمومی
متخصص روابط عمومی,مدیران‌تبلیغات‌و‌روابط‌عمومی
متن نویس روابط عمومی,مدیران‌تبلیغات‌و‌روابط‌عمومی
مدیر روابط عمومی,مدیران‌تبلیغات‌و‌روابط‌عمومی
مدیر استاندارد,مدیران‌تحقیق‌و‌توسعه
مدیر تحقیقات صنعتی,مدیران‌تحقیق‌و‌توسعه
کارشناس استاندارد کالاهای صنعتی,مدیران‌تحقیق‌و‌توسعه
استاندارد کالاهای صنعتی,مدیران‌تحقیق‌و‌توسعه
کارشناس استاندارد  و تحقیقات کالاهای صنعتی,مدیران‌تحقیق‌و‌توسعه
کارشناس تحقیقات صنعتی,مدیران‌تحقیق‌و‌توسعه
استاندارد  و تحقیقات صنعتی ,مدیران‌تحقیق‌و‌توسعه
مدیر استاندارد و تحقیقات صنعتی,مدیران‌تحقیق‌و‌توسعه
مدیر تحقیقات,مدیران‌تحقیق‌و‌توسعه
مدیر بهبود تولیدات,مدیران‌تحقیق‌و‌توسعه
کارشناس کشاورزی,مدیران‌تولید‌در‌کشاورزی‌و‌جنگل‌داری
مهندس کشاورزی,مدیران‌تولید‌در‌کشاورزی‌و‌جنگل‌داری
خاک شناس کشاورزی,مدیران‌تولید‌در‌کشاورزی‌و‌جنگل‌داری
کارشناس آزمایشگاه کشاورزی,مدیران‌تولید‌در‌کشاورزی‌و‌جنگل‌داری
 آزمایشگاه کشاورزی,مدیران‌تولید‌در‌کشاورزی‌و‌جنگل‌داری
کارشناس اصلاح نباتات و زراعت,مدیران‌تولید‌در‌کشاورزی‌و‌جنگل‌داری
اصلاح نباتات و زراعت,مدیران‌تولید‌در‌کشاورزی‌و‌جنگل‌داری
کارشناس امور زراعی,مدیران‌تولید‌در‌کشاورزی‌و‌جنگل‌داری
امور زراعی,مدیران‌تولید‌در‌کشاورزی‌و‌جنگل‌داری
کارشناس باغبانی,مدیران‌تولید‌در‌کشاورزی‌و‌جنگل‌داری
کارشناس بررسی آفات و بیماری های گیاهی,مدیران‌تولید‌در‌کشاورزی‌و‌جنگل‌داری
بررسی آفات و بیماری های گیاهی,مدیران‌تولید‌در‌کشاورزی‌و‌جنگل‌داری
